# energy/meV  VibDOS 
-2.14451e+02   6.59144e-05
-2.12951e+02   6.63417e-05
-2.11451e+02   6.67742e-05
-2.09951e+02   6.72120e-05
-2.08451e+02   6.76552e-05
-2.06951e+02   6.81040e-05
-2.05451e+02   6.85583e-05
-2.03951e+02   6.90185e-05
-2.02451e+02   6.94845e-05
-2.00951e+02   6.99565e-05
-1.99451e+02   7.04347e-05
-1.97951e+02   7.09191e-05
-1.96451e+02   7.14100e-05
-1.94951e+02   7.19074e-05
-1.93451e+02   7.24116e-05
-1.91951e+02   7.29226e-05
-1.90451e+02   7.34407e-05
-1.88951e+02   7.39659e-05
-1.87451e+02   7.44986e-05
-1.85951e+02   7.50388e-05
-1.84451e+02   7.55868e-05
-1.82951e+02   7.61426e-05
-1.81451e+02   7.67067e-05
-1.79951e+02   7.72790e-05
-1.78451e+02   7.78600e-05
-1.76951e+02   7.84497e-05
-1.75451e+02   7.90484e-05
-1.73951e+02   7.96564e-05
-1.72451e+02   8.02739e-05
-1.70951e+02   8.09011e-05
-1.69451e+02   8.15384e-05
-1.67951e+02   8.21860e-05
-1.66451e+02   8.28442e-05
-1.64951e+02   8.35133e-05
-1.63451e+02   8.41936e-05
-1.61951e+02   8.48855e-05
-1.60451e+02   8.55893e-05
-1.58951e+02   8.63053e-05
-1.57451e+02   8.70340e-05
-1.55951e+02   8.77757e-05
-1.54451e+02   8.85308e-05
-1.52951e+02   8.92998e-05
-1.51451e+02   9.00831e-05
-1.49951e+02   9.08812e-05
-1.48451e+02   9.16945e-05
-1.46951e+02   9.25236e-05
-1.45451e+02   9.33691e-05
-1.43951e+02   9.42313e-05
-1.42451e+02   9.51111e-05
-1.40951e+02   9.60089e-05
-1.39451e+02   9.69255e-05
-1.37951e+02   9.78614e-05
-1.36451e+02   9.88175e-05
-1.34951e+02   9.97945e-05
-1.33451e+02   1.00793e-04
-1.31951e+02   1.01814e-04
-1.30451e+02   1.02859e-04
-1.28951e+02   1.03928e-04
-1.27451e+02   1.05022e-04
-1.25951e+02   1.06142e-04
-1.24451e+02   1.07290e-04
-1.22951e+02   1.08467e-04
-1.21451e+02   1.09673e-04
-1.19951e+02   1.10911e-04
-1.18451e+02   1.12180e-04
-1.16951e+02   1.13484e-04
-1.15451e+02   1.14824e-04
-1.13951e+02   1.16200e-04
-1.12451e+02   1.17615e-04
-1.10951e+02   1.19071e-04
-1.09451e+02   1.20570e-04
-1.07951e+02   1.22113e-04
-1.06451e+02   1.23704e-04
-1.04951e+02   1.25344e-04
-1.03451e+02   1.27036e-04
-1.01951e+02   1.28782e-04
-1.00451e+02   1.30587e-04
-9.89511e+01   1.32452e-04
-9.74511e+01   1.34381e-04
-9.59511e+01   1.36378e-04
-9.44511e+01   1.38447e-04
-9.29511e+01   1.40591e-04
-9.14511e+01   1.42816e-04
-8.99511e+01   1.45126e-04
-8.84511e+01   1.47527e-04
-8.69511e+01   1.50024e-04
-8.54511e+01   1.52623e-04
-8.39511e+01   1.55331e-04
-8.24511e+01   1.58155e-04
-8.09511e+01   1.61103e-04
-7.94511e+01   1.64184e-04
-7.79511e+01   1.67407e-04
-7.64511e+01   1.70781e-04
-7.49511e+01   1.74319e-04
-7.34511e+01   1.78031e-04
-7.19511e+01   1.81933e-04
-7.04511e+01   1.86037e-04
-6.89511e+01   1.90360e-04
-6.74511e+01   1.94920e-04
-6.59511e+01   1.99736e-04
-6.44511e+01   2.04830e-04
-6.29511e+01   2.10226e-04
-6.14511e+01   2.15950e-04
-5.99511e+01   2.22031e-04
-5.84511e+01   2.28503e-04
-5.69511e+01   2.35401e-04
-5.54511e+01   2.42767e-04
-5.39511e+01   2.50646e-04
-5.24511e+01   2.59090e-04
-5.09511e+01   2.68157e-04
-4.94511e+01   2.77912e-04
-4.79511e+01   2.88428e-04
-4.64511e+01   2.99790e-04
-4.49511e+01   3.12092e-04
-4.34511e+01   3.25442e-04
-4.19511e+01   3.39964e-04
-4.04511e+01   3.55798e-04
-3.89511e+01   3.73106e-04
-3.74511e+01   3.92073e-04
-3.59511e+01   4.12912e-04
-3.44511e+01   4.35866e-04
-3.29511e+01   4.61220e-04
-3.14511e+01   4.89297e-04
-2.99511e+01   5.20472e-04
-2.84511e+01   5.55175e-04
-2.69511e+01   5.93898e-04
-2.54511e+01   6.37205e-04
-2.39511e+01   6.85729e-04
-2.24511e+01   7.40178e-04
-2.09511e+01   8.01328e-04
-1.94511e+01   8.70000e-04
-1.79511e+01   9.47023e-04
-1.64511e+01   1.03316e-03
-1.49511e+01   1.12901e-03
-1.34511e+01   1.23480e-03
-1.19511e+01   1.35015e-03
-1.04511e+01   1.47372e-03
-8.95110e+00   1.60282e-03
-7.45110e+00   1.73305e-03
-5.95110e+00   1.85802e-03
-4.45110e+00   1.96963e-03
-2.95110e+00   2.05880e-03
-1.45110e+00   2.11697e-03
4.89000e-02   2.13792e-03
1.54890e+00   2.11937e-03
3.04890e+00   2.06361e-03
4.54890e+00   1.97685e-03
6.04890e+00   1.86765e-03
7.54890e+00   1.74508e-03
9.04890e+00   1.61727e-03
1.05489e+01   1.49057e-03
1.20489e+01   1.36942e-03
1.35489e+01   1.25650e-03
1.50489e+01   1.15314e-03
1.65489e+01   1.05973e-03
1.80489e+01   9.76024e-04
1.95489e+01   9.01447e-04
2.10489e+01   8.35229e-04
2.25489e+01   7.76541e-04
2.40489e+01   7.24562e-04
2.55489e+01   6.78517e-04
2.70489e+01   6.37699e-04
2.85489e+01   6.01474e-04
3.00489e+01   5.69280e-04
3.15489e+01   5.40626e-04
3.30489e+01   5.15082e-04
3.45489e+01   4.92273e-04
3.60489e+01   4.71877e-04
3.75489e+01   4.53611e-04
3.90489e+01   4.37231e-04
4.05489e+01   4.22525e-04
4.20489e+01   4.09309e-04
4.35489e+01   3.97422e-04
4.50489e+01   3.86723e-04
4.65489e+01   3.77090e-04
4.80489e+01   3.68417e-04
4.95489e+01   3.60608e-04
5.10489e+01   3.53581e-04
5.25489e+01   3.47262e-04
5.40489e+01   3.41588e-04
5.55489e+01   3.36501e-04
5.70489e+01   3.31951e-04
5.85489e+01   3.27892e-04
6.00489e+01   3.24285e-04
6.15489e+01   3.21094e-04
6.30489e+01   3.18287e-04
6.45489e+01   3.15835e-04
6.60489e+01   3.13713e-04
6.75489e+01   3.11898e-04
6.90489e+01   3.10369e-04
7.05489e+01   3.09109e-04
7.20489e+01   3.08099e-04
7.35489e+01   3.07326e-04
7.50489e+01   3.06775e-04
7.65489e+01   3.06434e-04
7.80489e+01   3.06293e-04
7.95489e+01   3.06341e-04
8.10489e+01   3.06569e-04
8.25489e+01   3.06970e-04
8.40489e+01   3.07535e-04
8.55489e+01   3.08259e-04
8.70489e+01   3.09135e-04
8.85489e+01   3.10158e-04
9.00489e+01   3.11323e-04
9.15489e+01   3.12625e-04
9.30489e+01   3.14062e-04
9.45489e+01   3.15630e-04
9.60489e+01   3.17324e-04
9.75489e+01   3.19144e-04
9.90489e+01   3.21087e-04
1.00549e+02   3.23150e-04
1.02049e+02   3.25331e-04
1.03549e+02   3.27631e-04
1.05049e+02   3.30047e-04
1.06549e+02   3.32578e-04
1.08049e+02   3.35224e-04
1.09549e+02   3.37984e-04
1.11049e+02   3.40859e-04
1.12549e+02   3.43847e-04
1.14049e+02   3.46950e-04
1.15549e+02   3.50168e-04
1.17049e+02   3.53500e-04
1.18549e+02   3.56949e-04
1.20049e+02   3.60515e-04
1.21549e+02   3.64198e-04
1.23049e+02   3.68001e-04
1.24549e+02   3.71925e-04
1.26049e+02   3.75971e-04
1.27549e+02   3.80140e-04
1.29049e+02   3.84436e-04
1.30549e+02   3.88860e-04
1.32049e+02   3.93414e-04
1.33549e+02   3.98102e-04
1.35049e+02   4.02924e-04
1.36549e+02   4.07885e-04
1.38049e+02   4.12987e-04
1.39549e+02   4.18234e-04
1.41049e+02   4.23628e-04
1.42549e+02   4.29174e-04
1.44049e+02   4.34874e-04
1.45549e+02   4.40734e-04
1.47049e+02   4.46758e-04
1.48549e+02   4.52948e-04
1.50049e+02   4.59312e-04
1.51549e+02   4.65852e-04
1.53049e+02   4.72575e-04
1.54549e+02   4.79485e-04
1.56049e+02   4.86589e-04
1.57549e+02   4.93893e-04
1.59049e+02   5.01402e-04
1.60549e+02   5.09123e-04
1.62049e+02   5.17063e-04
1.63549e+02   5.25229e-04
1.65049e+02   5.33630e-04
1.66549e+02   5.42272e-04
1.68049e+02   5.51164e-04
1.69549e+02   5.60316e-04
1.71049e+02   5.69735e-04
1.72549e+02   5.79433e-04
1.74049e+02   5.89418e-04
1.75549e+02   5.99703e-04
1.77049e+02   6.10297e-04
1.78549e+02   6.21214e-04
1.80049e+02   6.32465e-04
1.81549e+02   6.44063e-04
1.83049e+02   6.56023e-04
1.84549e+02   6.68359e-04
1.86049e+02   6.81086e-04
1.87549e+02   6.94220e-04
1.89049e+02   7.07779e-04
1.90549e+02   7.21781e-04
1.92049e+02   7.36244e-04
1.93549e+02   7.51189e-04
1.95049e+02   7.66636e-04
1.96549e+02   7.82609e-04
1.98049e+02   7.99132e-04
1.99549e+02   8.16228e-04
2.01049e+02   8.33926e-04
2.02549e+02   8.52253e-04
2.04049e+02   8.71240e-04
2.05549e+02   8.90918e-04
2.07049e+02   9.11321e-04
2.08549e+02   9.32485e-04
2.10049e+02   9.54449e-04
2.11549e+02   9.77253e-04
2.13049e+02   1.00094e-03
2.14549e+02   1.02556e-03
2.16049e+02   1.05116e-03
2.17549e+02   1.07779e-03
2.19049e+02   1.10551e-03
2.20549e+02   1.13438e-03
2.22049e+02   1.16446e-03
2.23549e+02   1.19583e-03
2.25049e+02   1.22856e-03
2.26549e+02   1.26272e-03
2.28049e+02   1.29841e-03
2.29549e+02   1.33572e-03
2.31049e+02   1.37475e-03
2.32549e+02   1.41560e-03
2.34049e+02   1.45839e-03
2.35549e+02   1.50325e-03
2.37049e+02   1.55032e-03
2.38549e+02   1.59973e-03
2.40049e+02   1.65166e-03
2.41549e+02   1.70627e-03
2.43049e+02   1.76376e-03
2.44549e+02   1.82433e-03
2.46049e+02   1.88821e-03
2.47549e+02   1.95564e-03
2.49049e+02   2.02689e-03
2.50549e+02   2.10225e-03
2.52049e+02   2.18206e-03
2.53549e+02   2.26666e-03
2.55049e+02   2.35645e-03
2.56549e+02   2.45186e-03
2.58049e+02   2.55336e-03
2.59549e+02   2.66149e-03
2.61049e+02   2.77684e-03
2.62549e+02   2.90005e-03
2.64049e+02   3.03184e-03
2.65549e+02   3.17304e-03
2.67049e+02   3.32454e-03
2.68549e+02   3.48735e-03
2.70049e+02   3.66262e-03
2.71549e+02   3.85162e-03
2.73049e+02   4.05579e-03
2.74549e+02   4.27678e-03
2.76049e+02   4.51642e-03
2.77549e+02   4.77681e-03
2.79049e+02   5.06034e-03
2.80549e+02   5.36973e-03
2.82049e+02   5.70809e-03
2.83549e+02   6.07898e-03
2.85049e+02   6.48649e-03
2.86549e+02   6.93530e-03
2.88049e+02   7.43081e-03
2.89549e+02   7.97926e-03
2.91049e+02   8.58780e-03
2.92549e+02   9.26468e-03
2.94049e+02   1.00194e-02
2.95549e+02   1.08628e-02
2.97049e+02   1.18073e-02
2.98549e+02   1.28669e-02
3.00049e+02   1.40573e-02
3.01549e+02   1.53957e-02
3.03049e+02   1.69002e-02
3.04549e+02   1.85894e-02
3.06049e+02   2.04807e-02
3.07549e+02   2.25875e-02
3.09049e+02   2.49159e-02
3.10549e+02   2.74587e-02
3.12049e+02   3.01882e-02
3.13549e+02   3.30474e-02
3.15049e+02   3.59412e-02
3.16549e+02   3.87314e-02
3.18049e+02   4.12398e-02
3.19549e+02   4.32650e-02
3.21049e+02   4.46142e-02
3.22549e+02   4.51435e-02
3.24049e+02   4.47941e-02
3.25549e+02   4.36090e-02
3.27049e+02   4.17206e-02
3.28549e+02   3.93169e-02
3.30049e+02   3.66004e-02
3.31549e+02   3.37546e-02
3.33049e+02   3.09249e-02
3.34549e+02   2.82131e-02
3.36049e+02   2.56820e-02
3.37549e+02   2.33635e-02
3.39049e+02   2.12676e-02
3.40549e+02   1.93902e-02
3.42049e+02   1.77187e-02
3.43549e+02   1.62364e-02
3.45049e+02   1.49251e-02
3.46549e+02   1.37665e-02
3.48049e+02   1.27435e-02
3.49549e+02   1.18405e-02
3.51049e+02   1.10433e-02
