 Note: freq.dat has 8 imaginary frequencies.
 Frequencies 	 Amplitude 
	 500 	 0
	 501 	 0
	 502 	 0
	 503 	 0
	 504 	 0
	 505 	 0
	 506 	 0
	 507 	 0
	 508 	 0
	 509 	 0
	 510 	 0
	 511 	 0
	 512 	 0
	 513 	 0
	 514 	 0
	 515 	 0
	 516 	 0
	 517 	 0
	 518 	 0
	 519 	 0
	 520 	 0
	 521 	 0
	 522 	 0
	 523 	 0
	 524 	 0
	 525 	 0
	 526 	 0
	 527 	 0
	 528 	 0
	 529 	 0
	 530 	 0
	 531 	 0
	 532 	 0
	 533 	 0
	 534 	 0
	 535 	 0
	 536 	 0
	 537 	 0
	 538 	 0
	 539 	 0
	 540 	 0
	 541 	 0
	 542 	 0
	 543 	 0
	 544 	 0
	 545 	 7.23159507316183e-312
	 546 	 1.23027312335168e-295
	 547 	 7.70154066866714e-280
	 548 	 1.77405861545345e-264
	 549 	 1.50376025464671e-249
	 550 	 4.69046532453269e-235
	 551 	 5.38377337612918e-221
	 552 	 2.27404149247284e-207
	 553 	 3.53474827787113e-194
	 554 	 2.02197271460138e-181
	 555 	 4.2565474787246e-169
	 556 	 3.29772385062961e-157
	 557 	 9.40276233573137e-146
	 558 	 9.86714061195387e-135
	 559 	 3.81094555475151e-124
	 560 	 5.41740379892299e-114
	 561 	 2.83451506086969e-104
	 562 	 5.45893705786031e-95
	 563 	 3.86983477451033e-86
	 564 	 1.00982388025901e-77
	 565 	 9.70023327561322e-70
	 566 	 3.43018130204083e-62
	 567 	 4.46545697513415e-55
	 568 	 2.14015284083663e-48
	 569 	 3.77633329059034e-42
	 570 	 2.45335014519875e-36
	 571 	 5.86853745288055e-31
	 572 	 5.16891169337393e-26
	 573 	 1.67642930472593e-21
	 574 	 2.00219536961686e-17
	 575 	 8.80604679646535e-14
	 576 	 1.42635316442711e-10
	 577 	 8.50869126131241e-08
	 578 	 1.86941566060286e-05
	 579 	 0.00151277314106829
	 580 	 0.0450903305289758
	 581 	 0.495052105147754
	 582 	 2.00212718041023
	 583 	 2.98277221768087
	 584 	 1.63700316437794
	 585 	 0.330972601463396
	 586 	 0.0246523541995766
	 587 	 0.000676484495310415
	 588 	 6.83908613321185e-06
	 589 	 2.54732933480681e-08
	 590 	 3.49561183219985e-11
	 591 	 1.76731872371461e-14
	 592 	 3.2920074025093e-18
	 593 	 2.25922671200579e-22
	 594 	 5.71227266294693e-27
	 595 	 5.32112392776972e-32
	 596 	 1.82615077356525e-37
	 597 	 2.30887550698104e-43
	 598 	 1.07543770523977e-49
	 599 	 1.84535364706759e-56
	 600 	 1.16646294293622e-63
